car_id,target_reg
P17494612l,46.83938
N-1530212S,34.75822
B-1154399t,32.264317
F12725233R,35.366825
l-1139189J,33.055588
U75286923j,46.471554
T-7479831o,32.617607
B-1369793u,33.49781
Y-1289786X,62.339127
C29045893T,32.31976
v-1730983R,31.731728
I20727212Q,49.56802
p48812438h,45.28311
T-2633971l,44.97064
V-9683916q,50.695717
P68488505Z,35.548256
W23907639f,75.297104
A22674788w,33.969967
y-1252277z,42.89563
u21168983D,42.942757
x12753662A,46.0465
v-7435255a,46.11339
E12421362P,36.198368
J35738918W,33.045727
T16973122B,46.403236
p-5671458M,50.115177
I68086031c,68.01068
D69722395r,52.32779
X10967418c,67.4812
q-1489273f,42.48498
C-1903701S,67.24336
r11820515d,41.434696
x12397432S,37.024014
Q50389908q,63.55011
B18597537S,33.727997
S-9537522o,74.7313
a10623296X,39.010956
R28123139u,36.481396
h-1451730v,34.24236
d-1257449w,37.173042
N11419190t,32.069565
k63904133P,76.26493
J92413639E,38.10952
b-3875784F,71.54922
f15183722K,30.718557
c-1874297z,75.03381
E16971328N,43.91228
H18110876A,71.612625
P-1301418D,47.400944
b-9697936F,33.31307
H-4258275m,34.410233
H10655858l,33.63989
w-1481290E,37.65737
C40885722w,31.659641
f15625319Q,51.576824
B42019578p,45.028896
T65731704H,48.059963
e30424190o,71.30792
w-1081221i,45.920486
E48110445u,32.759384
u73256394H,52.83758
m17237645h,33.737957
q-1403429B,63.964138
E-1889080W,47.61847
b-1781291I,47.725163
P77959737c,48.243057
h17474551u,70.258766
d17705773B,68.28658
s-2080909j,53.06589
N18448941g,32.214184
P17953716g,45.32022
i94781425U,42.900806
L-2155385D,55.538696
Q21449479D,31.8776
z-1790906x,47.20766
C-4338027c,73.29472
F13621020y,35.89239
P-1981563m,73.1123
B20284663C,71.05148
X-5672837D,31.87649
f-8313064a,31.254898
S16867324D,45.530037
l81011564d,52.055683
T-7878324V,33.389324
X49290901c,33.112324
N15373595s,47.29928
g-1912309G,31.695658
G23848056z,42.242397
w-3530598y,32.59539
s-4092655x,73.36191
v60921451s,41.648098
A-5309696c,72.43556
a21437857o,32.009464
r-2049651S,38.67655
c48174687o,70.02039
n57986901A,41.05703
J43552505w,31.30238
X69815445k,50.990917
Y31463755z,44.413326
C-1846243L,34.630142
z10378875g,34.010685
B-1843237q,33.095387
I-8201538D,32.05227
k-7853395L,52.535862
H-3154020d,41.32102
v11532085a,36.647675
o-1004837T,45.905014
E15850759P,76.3412
S11046237d,31.691956
i19615927E,34.216637
h24674210l,36.40033
j-1003273K,69.78584
i18120580r,40.65282
t35781257E,46.172832
S-7977049s,44.67007
H10411834F,42.03031
o29701218V,34.89056
E-1304820y,31.780336
V56226787D,37.82574
I-9571675o,34.070866
a-1832317K,32.164623
H-9271579x,46.621944
H15689477U,71.45656
J-8699353u,40.471943
S-6497022N,32.695404
g11521087z,44.040012
Q-1114187O,34.57405
a-1510716r,32.7416
G12673775u,69.07636
V-1604890W,34.409912
o-8858693p,32.27997
F84870593a,36.13884
j17532274g,54.72403
l-1283385g,33.99757
s-2062095H,34.97244
X13157100E,33.45181
h-2273764e,47.95462
B-2140476J,46.936768
p-8263041e,36.98181
Y-1681893d,54.057964
w-1017091K,31.360949
M-1236720D,46.084927
I-7194770x,33.183277
m13987388S,41.554005
w17315089Z,43.559193
f-1380237E,34.55042
P10499796W,41.196194
l-1844181l,53.162964
g13957568L,49.50454
R-5598576l,45.439095
n59321309Q,34.125862
R-1193631X,32.428165
y-2178923H,31.529789
m73284992F,37.56814
Z-2537370X,73.603836
t17276860j,49.281425
y33047270r,33.347683
b-9079908N,71.11743
q92579907V,41.561237
Z94669875T,48.75694
M86375856k,53.989006
c23067621B,30.554186
L-1838617u,46.866688
s-1063517N,30.398582
x-1172003m,76.16276
Q10654514V,37.592243
A-3425095J,38.36472
F-1854480x,49.497814
C-1953190j,30.759918
l41267361i,46.089535
N90091958O,38.141823
z20306091J,42.055653
F94970727I,46.7652
M14830267a,42.447105
i-1101173g,36.33605
l-7821340d,48.102993
I18827052n,34.61672
Z14111948t,40.985554
T17415608q,74.01507
R-1068057n,31.535402
K-8915465U,31.54853
f-2804472s,42.765892
v-1578970y,47.338707
Q14003835G,45.65219
W14646068A,73.0607
o-1593719v,41.316284
C-4941408C,48.19027
x-9374675c,47.12841
l12294446D,75.01519
p15777006h,33.421295
w-8656872Z,52.990513
D66928361D,38.69307
p-3553707D,35.777496
M10807027o,33.383774
g12484323a,35.525116
Z-8212382G,59.502407
u79013135M,39.497093
m28011734J,38.82124
C-2143786U,41.366573
x-2141235A,30.908447
b44994738S,42.50966
J44930122W,36.002018
g32852591N,62.421795
G85830221c,45.197166
D10434254T,48.36022
R-1143403S,33.903866
N18887406C,31.150475
v14387491a,46.555355
a87403235S,42.91736
I-1075712g,71.97068
N-1087986g,72.54023
y-6871732c,46.74132
A96730234u,40.47367
a22064292L,62.508144
j-1774967Z,50.87865
T83338145S,50.519592
i21617445N,53.477028
p-1641833m,34.618343
z14656246B,50.90562
G-1211626R,78.18017
X12788823V,76.61087
c-1552425b,35.093914
w-2122585e,32.346233
x11964154C,32.61612
t20645918R,50.96321
z13283849d,35.774796
h11730518w,42.5403
G19948827y,61.337925
r43274910O,33.0153
e-9096071i,35.088436
d-8576748Q,33.53724
z91796444U,34.16233
F12654866z,50.624256
w-1757702F,75.13264
b-1234099Q,51.24144
v21855739r,33.840225
W-5904057t,33.18636
e-9386234g,69.14584
Q42074100L,36.40539
g-4536331j,49.328293
o65053979S,32.061607
F-4400642b,34.794075
X-2198546w,31.555332
c11345351C,67.96348
M-4222158J,30.82098
t-8913790b,32.966667
h-1723876L,51.54479
b11565616J,36.046146
s-1143093p,39.162457
F-1742867J,41.51991
H-1333142D,47.90097
h-2832462V,52.343334
n46152009j,31.783129
A41423630m,72.466156
w23811317g,33.985382
v-3129503S,44.27173
V-2109665o,35.7399
i10002840y,32.640957
A12420027c,74.8701
Q-1710310B,41.981586
k-5059454A,43.29469
P78941617w,51.3062
X84104929Z,65.19632
O-5258966R,35.44566
W23785130R,73.00011
k64987032M,31.572334
r-1560829H,45.349308
O-1114284b,49.84409
I-2189520Y,45.480385
z73740510r,36.234917
F-5963184s,31.983824
F93749838u,35.499344
d13287541C,31.001818
n12600427T,44.1754
R22962581A,49.37929
m14976299n,53.29453
K25148748I,43.99091
F17991047v,32.502316
U10000525B,54.961536
L-5185142t,37.549572
E22476230A,46.10104
y-1918667p,37.531105
m-8421500s,69.53093
i-6826693r,34.81599
Q-6236402F,32.266197
H13796940X,49.318745
b12824965u,43.57917
f25057132A,40.49131
q12615606N,50.324123
N-2546914l,73.81542
A-9042233M,51.674347
b28088953J,31.58506
y12090800r,33.61643
m-3254742y,44.549545
T11166103f,65.39949
B-1904262o,62.240097
d-1638909M,48.463547
P20002659z,37.506176
O21101068n,72.06312
I-2609382N,35.73699
M18031243d,31.730045
V81901707h,33.877926
H-1873611C,34.949932
I-4335350O,32.045406
a-6685201O,35.486076
S68517794A,45.0537
a-5655175l,35.088436
v16259071w,44.849873
y21090823R,48.966846
V16991777n,42.02594
E-4001328d,38.66567
o-3515102Q,31.894802
j49593847v,41.87209
m-1140624S,32.611084
I96780719P,54.658092
W16150857p,46.335056
p10336196A,35.088436
F-1966393f,34.77738
R-5073928i,42.199966
i-6078322g,47.94635
R-1797279a,44.058224
v-1632640v,52.337166
b44358202J,71.22801
v21606356V,46.01185
a89412563P,35.105938
C14874883N,55.634556
j-2557842j,49.95588
s-8312774q,32.49586
Q83650998M,35.08503
v-1742723N,52.924347
S15039720Y,48.665356
X-1387510G,43.029842
H-2809672w,36.428387
O16507727j,45.238884
I-6505525c,53.78621
E16516360g,46.834457
r-3744124X,42.154842
E-1660926L,30.957502
W41114899Y,43.306713
J-1224401g,31.814863
z-4990028V,43.822304
S17802902i,53.664776
r-5223681u,37.617146
y40186666v,32.200592
X-7894537e,49.015034
n18141460t,46.041794
T-1846242d,51.49844
l19641602B,34.20634
Q20350184W,52.58367
u19545404h,44.6521
i-2125059a,30.797356
u20670898G,49.64465
E13629887e,53.44409
j-8833751a,45.55748
l-1270744J,33.522415
a-1444445A,47.865566
